Player,Team,Pos,FPTS,ADP Avg,ADP Std
Kyle Pitts,ATL,TE,198.2,43.6,6.6
T.J. Hockenson,DET,TE,195.7,55.6,6.1
Logan Thomas,WAS,TE,171.3,71.9,8.2
Dallas Goedert,PHI,TE,159,86,8.6
Noah Fant,DEN,TE,158.9,85.1,8.9
Tyler Higbee,LAR,TE,152.2,96.7,10.6
Robert Tonyan JR.,GB,TE,151.2,93.6,10.8
Mike Gesicki,MIA,TE,147.1,128.5,20.1
Irv Smith Jr.,MIN,TE,140.6,114.4,14.4
Jonnu Smith,NE,TE,138.1,143.2,19
Evan Engram,NYG,TE,134.3,140.8,18.3
Blake Jarwin,DAL,TE,130.5,167.9,24.7
Zach Ertz,PHI,TE,127.2,164.3,28.1
